,Maize grain Tonnes,Maize grain Hectares,September Total Rainfall (mm),October Total Rainfall (mm),November Total Rainfall (mm),December Total Rainfall (mm),January Total Rainfall (mm),February Total Rainfall (mm),March Total Rainfall (mm),April Total Rainfall (mm),May Total Rainfall (mm),June Total Rainfall (mm),July Total Rainfall (mm),August Total Rainfall (mm),September Wet Day - 1mm or more of Rain (day),October Wet Day - 1mm or more of Rain (day),November Wet Day - 1mm or more of Rain (day),December Wet Day - 1mm or more of Rain (day),January Wet Day - 1mm or more of Rain (day),February Wet Day - 1mm or more of Rain (day),March Wet Day - 1mm or more of Rain (day),April Wet Day - 1mm or more of Rain (day),May Wet Day - 1mm or more of Rain (day),June Wet Day - 1mm or more of Rain (day),July Wet Day - 1mm or more of Rain (day),August Wet Day - 1mm or more of Rain (day),September Mean Air Temperature (Celsius),October Mean Air Temperature (Celsius),November Mean Air Temperature (Celsius),December Mean Air Temperature (Celsius),January Mean Air Temperature (Celsius),February Mean Air Temperature (Celsius),March Mean Air Temperature (Celsius),April Mean Air Temperature (Celsius),May Mean Air Temperature (Celsius),June Mean Air Temperature (Celsius),July Mean Air Temperature (Celsius),August Mean Air Temperature (Celsius),September Total Sunshine (hrs),October Total Sunshine (hrs),November Total Sunshine (hrs),December Total Sunshine (hrs),January Total Sunshine (hrs),February Total Sunshine (hrs),March Total Sunshine (hrs),April Total Sunshine (hrs),May Total Sunshine (hrs),June Total Sunshine (hrs),July Total Sunshine (hrs),August Total Sunshine (hrs),September Mean Wind Speed (M/Sec),October Mean Wind Speed (M/Sec),November Mean Wind Speed (M/Sec),December Mean Wind Speed (M/Sec),January Mean Wind Speed (M/Sec),February Mean Wind Speed (M/Sec),March Mean Wind Speed (M/Sec),April Mean Wind Speed (M/Sec),May Mean Wind Speed (M/Sec),June Mean Wind Speed (M/Sec),July Mean Wind Speed (M/Sec),August Mean Wind Speed (M/Sec),AMN_value,Bulk_density_value,TotalC_value,TotalN_value,Category
1,3400.0,300.0,122.8,75.4,56.4,55.6,36.4,22.0,56.8,65.4,55.6,65.6,139.6,168.0,14.0,13.0,8.0,7.0,3.0,2.0,7.0,9.0,8.0,11.0,15.0,22.0,13.3,14.7,17.5,19.2,21.2,20.5,19.9,15.7,15.0,11.7,11.9,12.2,180.7,188.6,266.2,260.0,287.9,251.8,222.6,212.3,157.4,160.8,160.9,157.6,3.9,4.2,3.5,3.7,3.5,3.0,2.5,2.4,2.6,2.5,2.5,3.9,133.6062358,0.976666667,3.453214449,0.325620047,low
2,2400.0,300.0,43.4,33.0,96.6,25.6,8.4,12.4,27.2,24.8,97.8,139.6,94.2,115.8,6.0,4.0,10.0,4.0,2.0,2.0,10.0,5.0,10.0,12.0,13.0,17.0,13.1,15.7,17.3,18.6,19.7,21.2,18.5,16.3,13.9,13.2,11.6,12.4,186.9,210.7,212.8,256.1,278.4,269.8,211.4,202.9,153.7,132.7,117.7,154.3,3.6,3.3,3.6,3.5,3.4,3.1,2.9,2.8,2.6,3.0,3.0,3.2,133.6062358,0.976666667,3.453214449,0.325620047,low
3,3800.0,300.0,124.0,126.2,28.4,0.0,54.0,59.0,48.4,81.4,54.8,93.4,88.4,103.6,11.0,14.0,7.0,0.0,6.0,5.0,9.0,12.0,12.0,10.0,11.0,15.0,13.2,15.6,18.1,21.0,20.1,20.2,19.0,17.1,14.5,13.4,11.7,12.3,168.2,173.4,222.6,214.7,280.9,244.5,192.4,168.6,158.5,128.4,174.7,160.7,3.6,3.8,2.8,3.5,3.1,3.2,2.8,2.7,2.9,2.7,3.1,3.4,133.6062358,0.976666667,3.453214449,0.325620047,low
4,8900.0,1000.0,105.2,109.4,152.8,97.0,5.4,64.6,107.8,22.6,68.8,148.2,256.6,141.8,10.0,9.0,15.0,9.0,2.0,5.0,6.0,7.0,11.0,17.0,20.0,13.0,13.5,15.2,17.7,19.7,21.2,21.9,20.0,17.7,15.1,13.4,13.2,13.0,169.1,175.1,173.2,225.0,313.6,192.9,242.5,194.1,175.2,125.0,123.5,149.6,3.0,3.2,3.5,2.9,3.2,3.7,3.3,2.8,2.7,3.0,3.5,2.8,133.6062358,0.976666667,3.453214449,0.325620047,low
5,5700.0,0.0,127.8,53.4,65.8,111.4,478.4,189.6,36.6,95.4,232.0,119.2,104.0,58.6,16.0,13.0,10.0,10.0,18.0,11.0,6.0,9.0,16.0,15.0,14.0,11.0,14.0,15.3,16.7,19.6,20.1,20.1,18.2,17.7,15.8,12.4,12.4,10.8,177.5,174.5,228.1,165.0,145.1,189.1,258.8,150.0,124.5,155.6,137.0,180.4,3.8,3.7,3.1,3.3,3.9,3.6,2.5,3.5,3.6,2.7,3.8,2.4,133.6062358,0.976666667,3.453214449,0.325620047,low
9,29200.0,2600.0,95.8,95.4,46.4,99.4,24.6,29.0,0.0,0.0,92.4,82.4,133.2,96.0,11.0,9.0,7.0,10.0,5.0,4.0,0.0,0.0,9.0,8.0,11.0,13.0,11.9,13.8,16.8,19.4,21.4,20.1,19.1,14.6,13.0,9.8,10.9,10.5,186.7,229.8,272.9,278.0,309.4,270.4,241.0,230.7,185.6,170.8,140.0,184.0,3.7,3.9,3.7,4.3,3.3,3.1,2.6,2.6,2.7,2.3,3.0,3.5,156.9392091,0.971666667,4.744961669,0.488482262,moderate
10,33700.0,2800.0,32.6,25.0,0.0,33.4,16.8,16.8,56.4,41.2,60.4,200.8,107.8,75.8,7.0,4.0,0.0,4.0,3.0,3.0,6.0,5.0,5.0,14.0,11.0,8.0,11.9,14.6,16.7,18.1,19.5,20.9,17.2,14.8,12.1,12.0,9.9,10.6,204.9,198.0,233.4,302.6,326.8,288.3,258.1,226.3,195.4,133.4,160.1,186.0,3.8,3.2,4.1,3.7,3.2,3.4,2.8,2.6,2.4,2.7,2.8,3.1,156.9392091,0.971666667,4.744961669,0.488482262,high
11,36100.0,3100.0,128.8,187.4,25.6,124.8,132.8,71.8,55.2,87.2,110.8,0.0,128.4,68.0,10.0,11.0,8.0,6.0,7.0,7.0,9.0,9.0,10.0,0.0,10.0,9.0,11.9,14.4,17.4,20.5,19.5,19.0,17.5,15.7,12.8,12.0,9.5,10.1,146.7,110.4,128.6,240.5,311.2,248.1,236.8,203.2,176.1,127.2,182.7,186.0,3.5,3.7,3.5,4.2,3.4,3.2,2.9,2.6,2.5,2.8,3.1,2.8,156.9392091,0.971666667,4.744961669,0.488482262,high
12,21700.0,2100.0,224.0,102.0,206.0,192.6,36.4,173.4,151.6,35.2,156.6,182.2,238.6,0.0,15.0,9.0,12.0,14.0,4.0,11.0,5.0,6.0,8.0,16.0,17.0,0.0,12.4,14.1,17.3,18.5,20.4,20.6,18.5,15.9,12.9,11.9,11.4,10.9,188.8,221.8,217.4,226.8,343.4,202.9,254.8,214.2,188.2,143.6,134.0,197.6,3.8,3.9,4.5,4.0,4.0,3.8,3.9,3.3,3.2,4.1,4.4,3.5,156.9392091,0.971666667,4.744961669,0.488482262,moderate
13,23100.0,3000.0,286.8,0.0,75.0,0.0,168.8,199.2,0.0,62.2,330.6,165.0,57.4,57.0,11.0,0.0,12.0,0.0,13.0,14.0,0.0,8.0,16.0,11.0,6.0,9.0,12.9,14.2,16.3,19.1,19.7,19.7,17.4,16.2,14.5,11.6,10.0,9.1,0.0,240.2,224.8,241.7,168.0,179.2,261.5,194.5,142.8,146.7,175.6,229.6,4.3,4.3,3.9,4.0,5.2,4.0,3.3,3.8,5.2,3.7,4.0,3.4,156.9392091,0.971666667,4.744961669,0.488482262,moderate
18,3500.0,200.0,92.8,47.0,76.8,60.0,3.4,22.8,55.4,8.8,91.6,55.4,18.0,17.6,11.0,5.0,9.0,7.0,1.0,4.0,7.0,3.0,6.0,11.0,6.0,6.0,10.1,12.6,13.8,15.8,18.0,19.2,14.0,12.8,9.4,7.5,6.6,9.0,222.4,214.0,181.0,233.2,267.4,198.6,157.1,192.3,159.4,98.8,124.0,161.9,3.5,2.8,2.3,2.7,2.4,2.3,2.1,2.1,1.5,1.6,1.6,2.2,134.0,0.8,6.7,0.52,low
20,4800.0,400.0,28.6,16.2,83.8,61.6,21.6,201.0,17.6,20.2,80.0,89.6,141.4,58.6,6.0,6.0,9.0,8.0,4.0,15.0,3.0,4.0,9.0,13.0,11.0,8.0,8.7,10.5,14.0,15.1,17.0,15.6,14.7,12.1,9.8,6.8,6.1,8.4,157.0,224.4,224.2,214.3,291.8,148.9,163.2,172.8,160.4,115.8,101.0,141.7,2.2,2.8,2.4,1.7,1.3,0.7,1.2,1.6,1.7,2.2,1.9,2.1,134.0,0.8,6.7,0.52,low
35,33000.0,2600.0,58.2,91.6,40.0,133.6,42.7,71.9,45.2,0.0,1.0,0.0,0.0,65.6,8.0,11.0,3.0,11.0,8.0,9.0,5.0,0.0,0.0,0.0,0.0,8.0,12.9,14.7,19.3,19.5,21.5,19.6,18.6,14.4,12.8,9.7,10.3,10.6,124.4,144.8,234.6,166.9,243.1,210.6,187.3,109.7,149.0,100.3,93.6,129.3,4.1,4.0,4.0,3.4,4.2,3.1,2.4,2.5,3.3,2.9,3.0,4.3,122.0,0.903373834,4.0,0.42,high
36,51200.0,4000.0,97.4,85.2,164.4,54.8,66.6,34.8,77.8,19.6,56.4,208.8,71.0,60.6,9.0,5.0,12.0,6.0,6.0,2.0,11.0,5.0,9.0,13.0,9.0,10.0,13.4,16.2,17.8,18.9,20.7,22.2,17.8,16.2,12.8,12.5,10.4,11.4,147.7,163.1,137.3,168.8,216.1,228.7,156.6,164.6,137.6,76.8,115.0,118.7,4.9,3.2,3.5,3.9,3.8,3.6,2.7,3.2,2.2,2.7,3.2,3.2,122.0,0.903373834,4.0,0.42,high
37,52000.0,4400.0,150.2,37.0,156.2,86.8,35.6,62.6,0.0,1.4,0.0,65.4,37.6,68.8,10.0,6.0,9.0,9.0,4.0,4.0,0.0,1.0,0.0,10.0,8.0,10.0,11.9,15.0,18.0,21.1,21.0,19.8,18.7,16.9,13.4,12.1,9.7,10.1,143.6,157.0,206.3,166.3,217.3,221.9,134.6,158.0,129.4,73.3,154.8,149.6,3.7,3.3,3.0,3.4,3.7,2.2,2.0,3.1,2.6,2.9,2.8,3.3,122.0,0.903373834,4.0,0.42,high
38,33400.0,2500.0,167.0,0.0,96.4,74.2,24.2,170.6,404.6,112.6,144.6,89.6,96.6,94.8,13.0,0.0,10.0,13.0,8.0,13.0,15.0,6.0,10.0,10.0,16.0,11.0,12.7,13.9,18.2,19.1,19.7,20.3,17.0,15.8,13.3,12.1,11.3,11.8,129.3,154.6,162.6,176.0,263.3,140.8,157.5,189.3,138.3,97.6,102.5,112.2,3.1,3.3,3.5,2.7,2.7,2.2,2.1,2.4,2.9,3.6,3.7,2.9,122.0,0.903373834,4.0,0.42,high
39,25100.0,2500.0,0.0,67.0,302.4,58.4,139.6,314.6,108.4,84.8,75.2,180.0,101.4,24.8,0.0,7.0,10.0,11.0,14.0,12.0,9.0,10.0,11.0,15.0,13.0,6.0,0.0,15.1,16.4,20.1,19.4,19.9,17.9,16.6,14.9,11.7,10.5,10.1,180.1,192.9,148.9,157.3,124.9,140.5,195.7,119.5,118.8,97.3,89.5,137.9,4.3,4.1,3.2,3.4,2.5,2.8,2.9,2.4,2.6,2.7,4.0,2.9,122.0,0.903373834,4.0,0.42,moderate
46,38600.0,3300.0,145.6,68.2,98.8,91.2,4.0,211.6,108.4,12.2,118.6,155.8,141.6,143.4,14.0,10.0,14.0,13.0,1.0,11.0,10.0,5.0,13.0,16.0,14.0,12.0,11.1,11.9,16.1,16.8,18.0,18.3,16.3,13.7,11.9,10.1,9.5,10.1,129.3,154.6,162.6,176.0,263.3,140.8,157.5,189.3,138.3,97.6,102.5,112.2,3.1,3.3,3.5,2.7,2.7,2.2,2.1,2.4,2.9,3.6,3.7,2.9,78.50236007,1.22,3.675442264,0.367750191,high
47,49700.0,4400.0,90.2,98.0,71.6,51.4,186.2,174.8,66.8,109.6,69.4,104.4,79.0,60.8,12.0,9.0,12.0,11.0,13.0,14.0,9.0,12.0,9.0,13.0,13.0,9.0,11.8,12.2,14.0,17.5,17.6,17.7,15.2,14.2,12.3,9.9,8.9,7.4,180.1,192.9,148.9,157.3,124.9,140.5,195.7,119.5,118.8,97.3,89.5,137.9,4.3,4.1,3.2,3.4,2.5,2.8,2.9,2.4,2.6,2.7,4.0,2.9,78.50236007,1.22,3.675442264,0.367750191,high
51,1100.0,100.0,63.4,28.0,42.6,91.2,3.8,8.0,94.6,80.2,55.0,18.0,119.6,56.6,5.0,7.0,6.0,9.0,2.0,2.0,7.0,8.0,6.0,3.0,11.0,6.0,11.1,12.7,16.7,16.7,20.7,18.9,17.6,13.2,12.9,8.5,9.7,8.8,215.9,251.8,274.0,274.3,318.8,290.2,225.9,212.4,215.3,170.9,138.4,223.5,3.0,2.9,2.9,3.1,3.0,2.8,2.3,1.9,2.5,2.2,2.3,2.8,83.83333333333333,1.3076111113333333,3.0166666666666666,0.37,low
52,800.0,100.0,64.6,22.4,81.8,22.8,0.2,8.6,11.2,24.2,81.6,77.6,16.8,49.6,7.0,5.0,12.0,6.0,0.0,2.0,4.0,4.0,7.0,8.0,3.0,5.0,11.8,14.3,15.2,16.7,17.7,19.2,15.5,13.8,10.9,9.8,8.5,10.3,261.1,225.7,180.5,257.0,0.0,272.2,235.0,234.6,188.6,116.0,173.3,223.8,3.6,3.2,2.3,3.0,2.6,2.8,2.3,2.6,1.8,2.1,2.3,2.4,83.83333333333333,1.3076111113333333,3.0166666666666666,0.37,low
53,800.0,100.0,52.6,70.2,14.2,0.0,7.8,22.8,79.2,7.8,88.2,75.6,143.6,71.2,8.0,8.0,4.0,0.0,3.0,3.0,4.0,3.0,9.0,5.0,9.0,8.0,11.2,13.9,16.3,18.6,18.4,17.5,16.3,14.5,11.2,10.3,8.8,9.5,0.0,235.4,229.3,203.2,310.6,265.3,210.2,210.9,163.0,136.3,186.2,159.7,3.4,2.5,2.9,2.6,3.0,2.5,2.5,2.4,2.4,2.2,2.3,2.7,83.83333333333333,1.3076111113333333,3.0166666666666666,0.37,low
85,300.0,0.0,177.4,224.4,84.8,329.2,86.0,100.8,190.4,79.4,240.4,197.8,301.4,247.8,14.0,17.0,9.0,14.0,8.0,4.0,7.0,11.0,12.0,12.0,14.0,12.0,9.1,12.2,14.3,17.1,16.3,16.1,14.9,13.2,10.6,9.9,8.4,8.6,169.2,157.4,201.7,176.9,249.3,249.5,213.8,166.8,130.6,87.4,125.8,147.8,3.6,3.1,3.1,3.2,2.6,2.8,2.9,2.6,3.2,2.7,3.4,3.2,125.0995865,1.023333333,5.785668617,0.525916787,low
86,1500.0,100.0,192.2,132.8,277.0,161.4,0.0,449.6,91.2,55.4,218.8,228.0,355.0,396.6,18.0,12.0,18.0,14.0,0.0,9.0,7.0,7.0,11.0,20.0,19.0,13.0,10.1,11.3,14.6,16.3,17.3,17.7,15.7,13.9,11.9,9.7,9.5,9.4,129.4,178.8,0.0,217.8,0.0,174.3,238.9,203.4,141.3,100.7,88.1,114.2,2.9,3.0,3.1,2.6,2.8,3.3,3.2,2.7,2.7,3.2,3.4,3.6,125.0995865,1.023333333,5.785668617,0.525916787,low
91,1600.0,100.0,100.2,52.2,62.6,0.0,3.0,19.6,87.8,84.2,151.0,50.6,209.0,94.2,12.0,7.0,5.0,0.0,1.0,2.0,8.0,6.0,8.0,7.0,15.0,12.0,10.1,12.0,15.4,16.3,20.3,18.8,17.9,13.4,11.6,7.3,8.1,7.8,200.3,252.9,260.7,255.5,337.5,275.6,203.2,199.7,178.6,0.0,0.0,211.7,1.7,1.9,1.9,2.0,2.0,1.9,1.3,1.3,1.1,1.2,1.1,1.4,79.01672188,1.019,3.826450449,0.314002148,low
92,1200.0,100.0,85.4,72.4,276.4,96.6,1.0,26.4,25.8,58.4,113.8,122.0,83.6,0.0,9.0,10.0,14.0,6.0,1.0,4.0,7.0,7.0,6.0,10.0,6.0,0.0,11.8,13.8,15.9,17.5,17.5,18.2,15.2,12.3,10.1,9.6,7.8,9.8,229.8,188.5,176.3,240.7,297.1,255.7,0.0,207.0,180.7,139.8,156.2,178.0,1.7,1.5,1.7,2.0,1.8,1.8,1.6,1.3,1.1,1.2,1.2,1.2,79.01672188,1.019,3.826450449,0.314002148,low
93,200.0,100.0,212.4,98.2,42.0,0.0,12.4,19.4,101.6,111.6,189.4,94.4,273.4,149.4,10.0,10.0,4.0,0.0,5.0,5.0,8.0,8.0,11.0,10.0,11.0,12.0,10.3,13.0,15.7,0.0,18.6,18.3,16.9,14.7,11.7,10.8,8.4,9.5,217.2,227.3,240.3,213.7,282.6,235.9,182.0,185.5,167.2,124.5,0.0,192.9,1.7,1.6,1.8,1.9,1.8,1.8,1.4,1.3,1.3,1.2,1.3,1.5,79.01672188,1.019,3.826450449,0.314002148,low
94,800.0,100.0,86.6,28.6,166.2,100.8,24.0,181.8,50.2,37.0,133.6,165.4,364.4,276.0,12.0,5.0,11.0,12.0,1.0,11.0,5.0,3.0,13.0,17.0,13.0,11.0,10.9,12.4,15.5,17.3,19.0,18.2,16.8,14.0,11.7,9.0,8.2,0.0,174.5,235.8,250.6,253.2,316.1,146.8,251.6,195.8,165.2,144.2,122.3,145.7,1.5,1.8,1.8,1.7,1.9,1.8,1.4,1.3,1.1,1.2,1.3,1.3,79.01672188,1.019,3.826450449,0.314002148,low
95,1300.0,100.0,0.0,45.6,0.0,41.8,128.2,66.2,56.2,146.4,366.8,138.6,55.0,73.6,0.0,5.0,0.0,5.0,7.0,6.0,9.0,8.0,16.0,11.0,5.0,5.0,0.0,0.0,0.0,18.4,18.5,19.0,16.4,14.0,12.5,10.4,8.8,7.5,213.5,277.6,246.5,251.0,195.4,222.0,264.5,191.2,123.2,168.0,205.0,216.2,1.8,1.9,1.9,2.0,1.6,1.7,1.6,1.2,1.3,1.1,1.3,1.3,79.01672188,1.019,3.826450449,0.314002148,low
114,37200.0,3300.0,124.4,55.8,44.0,59.4,31.8,18.0,46.8,82.6,61.8,72.2,125.8,130.8,15.0,13.0,9.0,5.0,4.0,2.0,7.0,9.0,9.0,9.0,16.0,20.0,11.5,13.3,16.3,17.9,19.8,19.7,19.0,13.8,12.4,9.1,10.0,10.3,146.8,155.0,242.7,245.3,272.0,0.0,192.0,209.5,130.6,0.0,126.9,145.8,3.9,4.4,3.4,3.5,3.6,3.0,2.4,2.6,2.6,2.6,2.9,3.9,390.7407687,0.728666667,10.43460142,1.074549114,high
115,25500.0,2500.0,72.0,60.6,165.6,34.8,9.4,17.8,74.4,76.4,77.2,111.0,105.8,0.0,12.0,11.0,14.0,7.0,2.0,2.0,8.0,8.0,8.0,12.0,11.0,0.0,11.4,14.0,15.7,16.6,18.3,20.0,17.0,14.4,11.3,11.1,9.3,10.4,168.1,148.2,176.5,245.3,279.3,0.0,199.4,195.1,153.7,88.3,116.8,146.1,4.0,2.9,3.8,3.4,3.4,2.9,3.1,2.6,2.5,3.0,3.0,3.3,390.7407687,0.728666667,10.43460142,1.074549114,moderate
117,36400.0,3100.0,162.4,174.2,201.6,103.6,5.6,91.2,67.0,23.4,180.4,205.0,228.6,0.0,12.0,9.0,16.0,13.0,1.0,4.0,3.0,5.0,11.0,17.0,21.0,0.0,11.5,13.7,16.4,18.6,19.8,20.8,18.4,15.3,12.6,10.9,10.9,10.7,157.0,174.0,180.1,233.8,313.1,197.9,236.2,212.5,176.5,130.8,0.0,141.0,3.1,3.2,3.7,3.1,2.9,3.2,3.2,2.8,2.9,3.2,3.6,2.9,390.7407687,0.728666667,10.43460142,1.074549114,high
118,41600.0,3700.0,142.4,73.0,0.0,89.8,234.8,127.4,60.6,54.8,214.2,165.6,47.0,95.6,14.0,14.0,0.0,10.0,14.0,8.0,8.0,8.0,18.0,13.0,8.0,11.0,12.7,14.0,15.4,18.5,19.5,19.2,16.0,15.6,13.8,10.3,10.1,8.4,172.8,199.0,210.9,154.7,156.8,177.7,244.4,155.3,118.0,148.1,128.9,198.9,4.1,3.9,3.4,3.3,3.7,3.7,2.7,3.3,3.5,3.0,4.2,2.7,390.7407687,0.728666667,10.43460142,1.074549114,high
122,5000.0,400.0,45.0,76.8,49.4,58.2,12.2,28.6,21.2,82.4,13.2,25.6,80.4,74.6,7.0,10.0,5.0,7.0,4.0,4.0,3.0,11.0,2.0,2.0,12.0,10.0,10.6,11.8,16.2,16.8,20.0,18.2,17.6,13.0,12.5,8.5,9.7,8.9,151.8,180.4,215.5,182.4,272.5,227.8,178.7,111.7,159.9,95.7,90.6,164.0,4.1,4.4,4.7,5.0,3.9,3.8,3.1,2.8,3.5,2.9,2.9,3.6,150.0,0.76,8.51,0.786934425,low
125,3700.0,300.0,88.6,43.0,76.0,109.0,7.4,249.0,29.4,6.4,42.2,73.8,195.7,65.8,14.0,6.0,7.0,9.0,3.0,10.0,4.0,2.0,8.0,11.0,14.0,6.0,11.0,12.2,16.6,17.3,18.3,18.0,16.7,13.9,12.2,10.2,9.3,10.8,118.5,158.7,181.8,167.8,264.0,101.2,134.1,171.7,129.2,83.5,70.0,90.1,3.7,4.2,4.3,2.9,3.2,3.1,2.7,2.8,2.7,3.3,3.6,3.6,150.0,0.76,8.51,0.786934425,low
